id,contact_material,study,percentage
1,Bone,TS,50
2,Hide,TS,43.5
3,Plant,TS,25
4,Wood,TS,34.6
5,Bone,APS,56.1
6,Hide,APS,47.9
7,Plant,APS,32.4
8,Wood,APS,49.1
