Contact Material,Percentage,Study
Bone,50,TS
Hide,58.8,TS
Plant,22.2,TS
Wood,38.5,TS
Bone,56.1,APS
Hide,47.9,APS
Plant,32.4,APS
Wood,49.1,APS
